name	college
U27498	shanghai jiaotong university
U4641	tsinghua university
U16204	peking university
U21827	illinois state university
U22838	birla institute of technology and science
U14520	cardinal stritch university
U14520	rock valley college
U1441	university of delaware
U2714	zhejiang university
U9128	university of illinois at urbana-champaign
U27300	university of illinois at urbana-champaign - college of business
U25641	allegheny college
U15334	bangladesh university of engineering and technology (buet)
U18962	beijing university of technology
U4600	university of science and technology of china
U9667	university of illinois at urbana-champaign
U7379	university of illinois at urbana-champaign
U15289	bangladesh university of engineering and technology
U22817	usc marshall school of business
U22817	birla institute of technology and science
U24165	isfahan university of technology
U15329	university of engineering and technology rajshahi
U24080	peking university
U7317	university of illinois at urbana-champaign
U14080	indian institute of technology roorkee
U15317	bangladesh university of engineering and technology
U19856	university of illinois at urbana-champaign
U27600	shanghai jiao tong university
U4249	parkland college
U4249	a beka academy
U4012	shanghai jiao tong university
U27332	university of illinois at urbana-champaign
U3958	shanghai jiao tong university
U2724	eastern illinois university
U14117	university of athens
U24046	fudan university
U3954	shanghai jiao tong university
U7972	thermoforming society of plastics engineers
U11564	shanghai jiao tong university
U24184	university of illinois at urbana-champaign
U22836	university of illinois at urbana-champaign
U16174	peking university
U7380	university of illinois at urbana-champaign
U15318	bangladesh university of engineering and technology
U7377	texas a&amp;m university
U18549	florida international university
U27460	university of california berkeley
U14531	lincoln christian university
U1238	university of southern maine
U7909	southwestern university
U27711	american university of beirut
U11558	shanghai jiao tong university
U27515	shanghai jiao tong university
U25634	wellesley college
U7104	university of illinois at urbana-champaign
U7104	nath valley
U14575	university of evansville
U7114	illinois state university
U3947	jiangxi university of finance and economics
U7234	massachusetts institute of technology
U3971	zhejiang university
U27742	peking university
U27742	university of science and technology beijing
U22030	university of illinois at urbana-champaign
U15316	bangladesh university of engineering and technology
U15349	bangladesh university of engineering and technology
U4625	university of science and technology of china
U24045	tsinghua university
U1045	southern illinois university carbondale
U1045	university of philippines
U1045	philippine science high school
U4633	nanjing university
U16132	peking university
U27618	university of illinois at urbana-champaign
U14029	birla institute of technology and science
U7153	universidade de s&#xe3;o paulo
U8086	university of south florida
U7390	university of notre dame
U27661	shanghai jiao tong university
U27532	shanghai jiao tong university
U24550	georgia state university
U27752	st. xavier's college
U13993	sharif university of technology
U22011	university of illinois at urbana-champaign
U24247	skidmore college
U22074	university of illinois springfield
U27758	tongji university
U14057	bilkent &#xdc;niversitesi
U9130	academy of fine arts in lodz
U27692	university of illinois at urbana-champaign
U12957	university of illinois at urbana-champaign
U16141	beijing university of technology
U21969	university of illinois at urbana-champaign
U7220	jagiellonian university
U9660	university of illinois at urbana-champaign
U15311	bangladesh university of engineering and technology
U7092	university of illinois at urbana-champaign
U2140	university of illinois at urbana-champaign
U2653	national chiao tung university
U9706	university of illinois at urbana-champaign
U9628	university of illinois at urbana-champaign
U15944	indian institute of technology kharagpur
U22824	reed college
U1259	northern illinois university dekalb il
U11817	university of illinois at urbana-champaign
U27804	shandong university
U22825	birla institute of technology and science
U10051	university of illinois at urbana-champaign
U19842	university of illinois at urbana-champaign
U27657	university of texas at austin
U16179	central university of finance and economics
U11590	tsinghua university
U1220	bates college
U7105	university of georgia
U19913	university of illinois at urbana-champaign
U27553	shanghai jiao tong university
U1068	rider university
U1068	university of richmond
U27691	national taiwan normal university
U22865	indian institute of technology madras
U14555	illinois state university
U9154	university of chicago
U4457	tsinghua university
U15336	university of illinois at urbana-champaign
U7294	university of illinois at urbana-champaign
U14124	university of illinois at urbana-champaign
U27676	university of illinois at urbana-champaign
U27676	zhejiang university
U7295	university of illinois at urbana-champaign
U24062	tsinghua university
U7338	university of illinois at urbana-champaign
U25563	university of illinois at urbana-champaign
U25563	university of nottingham
U24077	nanjing university
U18555	university of florida
U1252	wellesley college
U16219	national tsing-hua university (nthu)
U27636	shanghai jiao tong university
U7967	tongji university
U27463	shanghai jiao tong university
U15168	university of illinois at urbana-champaign
U7080	university of waterloo
U22022	university of illinois at urbana-champaign
U4688	tongji university shanghai
U27588	columbia university in city of new york
U13988	sharif university of technology
U24100	university of pennsylvania - wharton school
U14665	beihang university
U1147	trinity college-hartford
U24117	tsinghua university
U14547	baylor university
U7288	university of illinois at urbana-champaign
U8699	indian institute of technology madras
U7074	university of illinois at urbana-champaign
U7194	visvesvaraya technological university
U15321	bangladesh university of engineering and technology
U27617	university of illinois at urbana-champaign
U22088	macmurray college
U22055	university of illinois at urbana-champaign
U15173	university of illinois at urbana-champaign
U2723	tsinghua university
U22072	university of illinois at urbana-champaign
U4635	university of illinois at urbana-champaign
U4652	fudan university
U18983	renmin university of china
U8900	berean school of bible springfield illinois
U7117	university of illinois at urbana-champaign
U7307	university of illinois at urbana-champaign
U13968	north central college
U21998	university of illinois at chicago
U14657	beijing language and culture university
U2746	beijing institute of technology
U15299	bangladesh university of engineering and technology
U18545	university of florida
U15193	university of illinois at urbana-champaign
U18539	university of illinois at urbana-champaign
U7180	university of california los angeles
U16140	peking university
U27541	shanghai jiaotong university
U27648	tongji university
U9655	university of illinois at urbana-champaign
U2627	visvesvaraya technological university
U22019	indiana university bloomington
U9680	university of illinois at urbana-champaign
U4681	national taiwan university
U27525	shanghai jiao tong university
U7203	gujarat university
U2650	nanjing university
U24113	stanford university
U3909	tongji university
U27756	shanghai jiao tong university
U18593	college of holy cross
U9657	university of illinois at urbana-champaign
U7326	university of illinois at urbana-champaign
U13969	sharif university of technology
U16134	nanjing university
U1282	can tho university vietnam
U8909	nebraska wesleyan university
U1226	kent state university
U15957	saint petersburg state university of aerospace and instrumentation
U14109	university of illinois at urbana-champaign
U7213	university of illinois at urbana-champaign
U15174	university of illinois at urbana-champaign
U13961	sharif university of technology
U24177	isfahan university of technology
U15939	indian institute of technology bombay
U4025	fudan university
U19848	university of illinois at urbana-champaign
U14043	university of tehran
U8721	national institute of technology tiruchirappalli
U15333	university of illinois at urbana-champaign
U14113	college of engineering pune
U15932	indian institute of technology bombay
U22059	university of illinois at urbana-champaign
U4661	huazhong university of science and technology
U9642	university of illinois at urbana-champaign
U27698	shanghai jiao tong university
U7141	university of illinois at urbana-champaign
U4655	university of science and technology of china
U15269	bangladesh university of engineering and technology
U27748	university of southern california
U27748	university of california: irvine
U27738	tsinghua university
U9694	university of illinois at urbana-champaign
U14088	athens university of economics and business
U7095	jaypee university of information technology
U4610	essec - essec business school
U4610	university of chicago - booth school of business
U2696	wuhan university
U7253	university of illinois at urbana-champaign
U14136	university of illinois at urbana-champaign
U24158	university of isfahan
U27499	huazhong university of science and technology
U14125	athens university of economics and business
U7237	university of illinois at urbana-champaign
U7237	indus international school
U27941	nanyang technological university
U7260	university of illinois at urbana-champaign
U15297	bangladesh university of engineering and technology
U2683	university of science and technology of china
U15344	bangladesh university of engineering and technology
U27707	tsinghua university
U1254	university of iowa - henry b. tippie college of business
U27674	shanghai jiao tong university
U2656	peking university
U24205	middlebury college
U21094	youngstown state university
U18938	beijing university of chemical technology
U27763	zhejiang university
U7090	university of illinois at urbana-champaign
U4689	hanoi university of science
U27791	shanghai jiao tong university
U7176	university of illinois at urbana-champaign
U27542	shanghai jiao tong university
U11580	fudan university
U24173	esfahan university
U15287	bangladesh university of engineering and technology
U1359	university of georgia
U7283	university of illinois at urbana
U15307	bangladesh university of engineering and technology
U27508	university of illinois at urbana-champaign
U27508	university of international business and economics
U7195	university of illinois at urbana-champaign
U16153	peking university
U11563	tsinghua university
U7244	delhi college of engineering
U5977	university of illinois at urbana-champaign
U27687	shanghai jiao tong university
U14131	university of new south wales
U18975	sichuan normal university
U19831	university of illinois at urbana-champaign
U27287	university of illinois at urbana-champaign
U27287	shanghai jiao tong university
U27287	university of new mexico
U27287	hong kong university of science and technology
U13954	university of missouri-columbia
U7109	university of illinois at urbana-champaign
U7109	shanghai american school
U25645	edinboro university of pennsylvania
U8269	bachelor
U7132	university of illinois at urbana-champaign
U2663	zhejiang university
U5976	illinois wesleyan university
U8003	illinois state university
U3989	shanghai jiao tong university
U15949	indian institute of technology bombay
U9689	university of illinois at urbana-champaign
U2209	illinois state university
U2684	&#x534e;&#x5317;&#x7535;&#x529b;&#x5927;&#x5b66;&#xff08;&#x5317;&#x4eac;&#xff09;
U18928	national taiwan university of science and technology
U8702	bangladesh university of engineering and technology
U27279	university of illinois at urbana-champaign
U8100	ohio state university
U27494	shanghai jiao tong university
U1055	sungkyunkwan university
U6021	illinois wesleyan university
U4568	shanghai jiao tong university
U4607	university of pittsburgh
U22045	university of illinois at urbana-champaign
U7373	university of illinois at urbana-champaign
U7272	university of washington
U5996	depauw university
U22010	university of illinois at urbana-champaign
U18942	xiamen university
U2153	cornell university
U26952	university of illinois at urbana-champaign
U6000	illinois state university
U11566	peking university
U1175	gustavus adolphus college
U16084	peking university
U7402	university of illinois at urbana-champaign
U13981	sharif university of technology
U14526	abilene christian university
U4638	zhejiang university
U14005	sharif university of technology
U24130	shahid beheshti university
U19858	university of illinois at urbana-champaign
U7989	southern illinois university carbondale
U15968	indian institute of technology bombay
U21464	university of manchester - manchester business school
U8098	purdue university
U4488	university of florida
U4488	beijing normal university
U1214	tennessee technological university
U7113	university of california berkeley
U9710	university of illinois at urbana-champaign
U8068	logan college of chiropractic
U16152	shanghai jiao tong university
U7906	northeast normal university
U4634	punjab engineering college
U9126	illinois state university
U3983	zhejiang university
U6011	ouachita baptist university
U24091	zhejiang university
U24087	cairo university
U24152	university of isfahan
U27475	university of texas at austin
U27704	university of illinois at urbana-champaign
U22775	birla institute of technology and science
U21835	university of illinois at urbana-champaign
U4000	hangzhou normal university
U21970	university of illinois at chicago
U22003	university of illinois at urbana-champaign
U14096	guru gobind singh indraprastha university
U7315	university of illinois at urbana-champaign
U12932	university of illinois at urbana-champaign - college of business
U14537	eastern illinois university
U14537	university of iowa
U13066	university of illinois at urbana-champaign
U22017	university of illinois
U13959	sharif university of technology
U27577	shanghai jiao tong university
U13032	university of illinois at urbana-champaign
U16078	nanyang technological university
U1104	universiti teknologi malaysia
U1044	california state university-northridge
U15934	indian institute of technology bombay
U27575	shanghai jiao tong university
U15935	harvard business school
U15935	indian institute of technology bombay
U25605	hesser college
U24084	tsinghua university
U24176	indian institute of technology bombay
U7024	university of illinois at urbana-champaign
U7351	university of illinois at urbana-champaign
U19873	university of illinois at urbana-champaign
U27656	case western reserve university
U27608	tsinghua university
U7281	manipal institute of technology
U4485	university of illinois at urbana-champaign
U4485	beijing normal university
U19884	university of illinois at urbana-champaign
U7350	university of illinois at urbana-champaign
U6013	mount mary college
U3944	central south university
U14496	university of illinois at urbana-champaign
U8110	university of illinois at urbana-champaign
U9141	depaul university
U2734	national taiwan university
U18524	universidad complutense de madrid
U7049	university of illinois at urbana-champaign
U7049	birla institute of tech
U8036	millersville university of pennsylvania
U27456	shanghai jiao tong university
U24139	isfahan university of technology
U4542	tsinghua university
U7035	university of illinois at urbana-champaign
U18562	university of florida
U18562	florida international university
U15950	indian institute of technology bombay
U22771	birla institute of technology and science
U7096	delhi university
U15994	johns hopkins university
U18570	university of florida
U27726	university of california los angeles
U15341	bangladesh university of engineering and technology
U8795	amirkabir university of technology - tehran polytechnic
U16137	beijing normal university
U22861	birla institute of technology and science
U18597	florida atlantic university
U24142	isfahan university of technology (iut)
U3919	fudan university
U14557	university of illinois at urbana-champaign
U7138	university of illinois at urbana-champaign
U1199	state university of new york college at plattsburgh
U22854	university of illinois at urbana-champaign
U3899	shanghai jiao tong university
U21848	illinois state university
U7167	university of illinois
U7304	university of illinois at urbana-champaign - college of business
U8741	university of california irvine
U1331	university of utah
U15917	indian institute of technology bombay
U25625	apu
U8768	bangladesh university of engineering and technology
U15190	university of illinois at urbana-champaign
U9149	whitworth college
U24183	qazvin azad university
U27569	illinois institute of technology
U14068	university of illinois at urbana-champaign
U14068	athens university of economics and business
U22843	chaitanya bharathi institute of technology.
U13029	university of illinois at urbana-champaign
U16091	peking university
U4517	xi'an jiaotong university
U15197	university of illinois at urbana-champaign
U3939	shanghai jiao tong university
U8298	nwfp university of engineering and technology peshawar pakistan
U19874	university of illinois at urbana-champaign
U4619	beijing foreign studies university
U4606	tsinghua university
U27649	shanghai jiao tong university
U24071	tsinghua university
U4005	shanghai jiao tong university
U7299	university of illinois at urbana-champaign
U8670	university of illinois at urbana-champaign
U8670	university of isfahan
U8670	shahid ejei - sampad
U14123	university of illinois - urbana champaign
U7189	university of california irvine
U4489	central michigan university
U7256	university of illinois at urbana-champaign
U15335	bangladesh university of engineering and technology
U9711	university of illinois at urbana-champaign
U22849	rmit university
U15296	bangladesh university of engineering and technology
U27785	soochow university (cn)
U2691	university of science and technology of china
U2180	university of illinois at urbana-champaign
U16089	peking university beijing
U4562	university of illinois at urbana-champaign
U4562	university of science and technology of china
U12970	university of illinois at urbana-champaign
U27471	university of illinois at urbana-champaign
U27746	zhejiang university
U7239	university of illinois at urbana-champaign
U2750	tsinghua university
U28772	birla institute of technology and science
U27761	shanghai jiao tong university
U7319	university of illinois at urbana-champaign
U24054	tsinghua university
U15308	bangladesh university of engineering and technology
U27289	university of illinois at urbana-champaign - college of business
U4010	shanghai jiao tong university
U19896	university of pittsburgh
U27603	shanghai jiao tong university
U22820	bits pilani
U27622	shanghai jiao tong university
U14577	xiamen university
U27784	south china university of technology
U14101	university of illinois at urbana-champaign
U27798	shanghai jiao tong university
U18520	florida atlantic university
U9138	university of wisconsin-stevens point
U14112	anna university
U4586	tsinghua university
U24082	tsinghua university
U9663	university of illinois urbana-champaignurbana
U22068	university of illinois at urbana-champaign
U22044	university of illinois at urbana-champaign
