name	location
U25622	hyderabad area india
U2627	san francisco bay area
U22019	greater chicago area
U14490	urbana-champaign illinois area
U4681	greater boston area
U1072	san antonio texas area
U22752	bengaluru area india
U15466	urbana-champaign illinois area
U24071	beijing city china
U13995	urbana-champaign illinois area
U27604	greater los angeles area
U27756	paris area france
U16128	san francisco bay area
U9657	urbana-champaign illinois area
U7108	urbana-champaign illinois area
U8091	tuscaloosa alabama area
U13969	urbana-champaign illinois area
U16134	greater new york city area
U21985	urbana-champaign illinois area
U22828	bengaluru area india
U6026	greater boston area
U5982	urbana-champaign illinois area
U14109	greater chicago area
U15174	urbana-champaign illinois area
U13961	urbana-champaign illinois area
U15939	mumbai area india
U18543	gainesville florida area
U15932	greater new york city area
U9642	greater chicago area
U2688	urbana-champaign illinois area
U4655	greater boston area
U15269	bangladesh
U27748	san francisco bay area
U9694	urbana-champaign illinois area
U14088	greece
U27494	beijing city china
U2696	beijing city china
U14136	bloomington normal illinois area
U18518	greater new york city area
U27499	china
U7237	urbana-champaign illinois area
U7260	urbana-champaign illinois area
U2683	beijing city china
U2656	urbana-champaign illinois area
U24239	greater new york city area
U21094	greenville south carolina area
U8096	sacramento california area
U14008	hungary
U4689	vietnam
U14492	bloomington normal illinois area
U22799	hyderabad area india
U27721	shanghai city china
U24173	ontario canada
U1359	raleigh-durham north carolina area
U7283	urbana-champaign illinois area
U11580	greater detroit area
U7195	greater seattle area
U9630	urbana-champaign illinois area
U7244	portland oregon area
U27687	san francisco bay area
U18975	china
U7109	eugene oregon area
U25645	greater los angeles area
U8269	changsha hunan china
U7132	san francisco bay area
U7056	san francisco bay area
U22006	houston texas area
U8003	urbana-champaign illinois area
U9153	urbana-champaign illinois area
U8900	greater atlanta area
U2209	urbana-champaign illinois area
U24084	san francisco bay area
U7170	mannheim area germany
U27279	san francisco bay area
U2761	san francisco bay area
U2649	urbana-champaign illinois area
U24085	san francisco bay area
U1283	greater new york city area
U7373	washington d.c. metro area
U7272	greater seattle area
U1134	madison wisconsin area
U5996	decatur illinois area
U22010	urbana-champaign illinois area
U21998	greater chicago area
U26952	urbana-champaign illinois area
U6000	urbana-champaign illinois area
U1284	portland maine area
U1175	greater boston area
U13981	raleigh-durham north carolina area
U14477	urbana-champaign illinois area
U24130	greater los angeles area
U19858	san francisco bay area
U15968	ulm area germany
U21464	greater chicago area
U4488	urbana-champaign illinois area
U1214	washington d.c. metro area
U7113	united states
U16152	hong kong
U7906	salinas california area
U11590	urbana-champaign illinois area
U11815	greater chicago area
U3983	shanghai city china
U28776	san francisco bay area
U6011	kansas city missouri area
U24091	greater seattle area
U24087	greater seattle area
U2753	urbana-champaign illinois area
U14657	cincinnati area
U21835	san francisco bay area
U25627	ncr - national capital region philippines
U18524	miami fort lauderdale area
U14096	urbana-champaign illinois area
U12932	greater chicago area
U13066	san francisco bay area
U22017	greater chicago area
U7095	bengaluru area india
U13032	greater chicago area
U7030	san francisco bay area
U1071	phoenix arizona area
U18932	bloomington normal illinois area
U15934	singapore
U15935	greater new york city area
U13007	urbana-champaign illinois area
U2684	china
U24176	urbana-champaign illinois area
U16177	washington d.c. metro area
U7351	cleveland akron ohio area
U27608	greater new york city area
U11820	greater chicago area
U24241	iraq
U19884	greater chicago area
U7350	urbana-champaign illinois area
U6013	decatur illinois area
U8110	urbana-champaign illinois area
U11827	greater boston area
U7049	san francisco bay area
U8036	greater philadelphia area
U27456	finland
U14138	san francisco bay area
U24139	toledo ohio area
U8904	urbana-champaign illinois area
U7035	greater chicago area
U16167	china
U8048	urbana-champaign illinois area
U22771	san francisco bay area
U22759	bengaluru area india
U15994	washington d.c. metro area
U7188	san francisco bay area
U14508	urbana-champaign illinois area
U15341	wichita kansas area
U16137	greater nashville area
U16115	united states
U3944	china
U3919	shanghai city china
U24189	greater boston area
U7138	raleigh-durham north carolina area
U4574	phoenix arizona area
U3899	greater atlanta area
U14500	urbana-champaign illinois area
U15350	urbana-champaign illinois area
U7304	greater chicago area
U15917	indianapolis indiana area
U25625	greater boston area
U2153	urbana-champaign illinois area
U8080	greater los angeles area
U14068	urbana-champaign illinois area
U22843	hyderabad area india
U28774	san francisco bay area
U4517	greater los angeles area
U25633	greater boston area
U2677	urbana-champaign illinois area
U27779	greater seattle area
U8298	urbana-champaign illinois area
U7174	chennai area india
U19874	urbana-champaign illinois area
U22785	noida area india
U10059	greater detroit area
U7299	greater chicago area
U24113	san francisco bay area
U7983	urbana-champaign illinois area
U4676	nanjing jiangsu china
U3955	china
U4489	urbana-champaign illinois area
U15335	yongin gyeonggi-do korea
U15296	greater new york city area
U27785	hartford connecticut area
U2691	san francisco bay area
U14542	greater new york city area
U16089	greater new york city area
U14124	greater chicago area
U22051	greater chicago area
U14072	bryan college station texas area
U27471	greater philadelphia area
U7349	greater chicago area
U8076	florence south carolina area
U7239	urbana-champaign illinois area
U2750	san francisco bay area
U15950	montreal canada area
U24054	beijing city china
U10062	greater milwaukee area
U15308	toronto canada area
U4644	urbana-champaign illinois area
U19896	urbana-champaign illinois area
U27753	shanghai city china
U15974	chandigarh area india
U14577	san francisco bay area
U4647	beijing city china
U14101	washington d.c. metro area
U9138	urbana-champaign illinois area
U24231	urbana-champaign illinois area
U18560	miami fort lauderdale area
U4455	urbana-champaign illinois area
U24082	san francisco bay area
U22068	urbana-champaign illinois area
U7987	urbana-champaign illinois area
U22041	greater chicago area
U22002	urbana-champaign illinois area
U27776	urbana-champaign illinois area
U1104	germany
U8106	spokane washington area
U24171	greater salt lake city area
U2108	urbana-champaign illinois area
U3918	china
U14668	lille area france
U3914	china
U2631	austin texas area
U24218	greater atlanta area
U9709	urbana-champaign illinois area
U8030	united states
U3947	shanghai suburb china
U6025	iowa city iowa area
U10068	greater st. louis area
U2622	san francisco bay area
U15267	san francisco bay area
U14532	urbana-champaign illinois area
U27691	raleigh-durham north carolina area
U1282	lansing michigan area
U16197	shenzhen guangdong china
U22086	greater chicago area
U8909	greater st. louis area
U2723	greater los angeles area
U14499	urbana-champaign illinois area
U27792	greater los angeles area
U10631	greater new york city area
U1196	lawrence kansas area
U3909	china
U16101	beijing city china
U21443	greater chicago area
U8088	greater detroit area
U4661	urbana-champaign illinois area
U27698	shanghai city china
U2650	brisbane area australia
U14119	houston texas area
U7270	urbana-champaign illinois area
U27518	phoenix arizona area
U15307	bangladesh
U27801	china
U6001	urbana-champaign illinois area
U21995	urbana-champaign illinois area
U22819	mumbai area india
U9665	greater chicago area
U5981	urbana-champaign illinois area
U8059	united states
U14150	phoenix arizona area
U7077	san francisco bay area
U15359	bangladesh
U9649	greater chicago area
U22747	urbana-champaign illinois area
U1089	iowa city iowa area
U24092	urbana-champaign illinois area
U16085	albany new york area
U15611	urbana-champaign illinois area
U5983	urbana-champaign illinois area
U7917	greater chicago area
U18916	urbana-champaign illinois area
U7167	urbana-champaign illinois area
U25559	urbana-champaign illinois area
U27746	dresden area germany
U3894	shanghai city china
U27642	san francisco bay area
U4641	greater new york city area
U9122	urbana-champaign illinois area
U16204	greater boston area
U21827	urbana-champaign illinois area
U1174	barcelona area spain
U14080	urbana-champaign illinois area
U24064	san francisco bay area
U7990	decatur illinois area
U9128	greenville south carolina area
U15928	mumbai area india
U25641	greater new york city area
U15334	british columbia canada
U1380	raleigh-durham north carolina area
U14043	greater chicago area
U9667	urbana-champaign illinois area
U15190	urbana-champaign illinois area
U11597	beijing city china
U27742	greater los angeles area
U22838	portland oregon area
U8113	greater philadelphia area
U7317	urbana-champaign illinois area
U4693	greater new york city area
U15317	bangladesh
U27600	greater philadelphia area
U2724	urbana-champaign illinois area
U7972	urbana-champaign illinois area
U8104	toronto canada area
U22836	greater st. louis area
U16174	china
U27525	shanghai city china
U18549	miami fort lauderdale area
U1238	portland maine area
U7909	houston texas area
U14113	greater chicago area
U27515	greater seattle area
U11828	peoria illinois area
U16216	urbana-champaign illinois area
U14125	greece
U7114	united states
U15297	greater milwaukee area
U7234	greater boston area
U7137	noida area india
U19831	greater st. louis area
U22030	urbana-champaign illinois area
U15316	bangladesh
U24045	san francisco bay area
U4628	urbana-champaign illinois area
U10618	cambridge united kingdom
U4633	greater detroit area
U27663	greater new york city area
U27618	urbana-champaign illinois area
U13959	greater seattle area
U27532	shanghai city china
U24550	urbana-champaign illinois area
U9141	urbana-champaign illinois area
U24198	iran
U7096	new delhi area india
U11587	urbana-champaign illinois area
U8049	oklahoma city oklahoma area
U7315	urbana-champaign illinois area
U1331	provo utah area
U1141	iowa city iowa area
U27692	greater new york city area
U12957	springfield illinois area
U27507	urbana-champaign illinois area
U16141	san francisco bay area
U21969	urbana-champaign illinois area
U7220	greater new york city area
U25594	greater philadelphia area
U27763	china
U15311	bangladesh
U7092	san francisco bay area
U1147	greater new york city area
U15944	washington d.c. metro area
U22858	greater pittsburgh area
U11817	greater boston area
U7347	greater chicago area
U14121	greece
U16179	greater new york city area
U7105	urbana-champaign illinois area
U16127	greater boston area
U22865	chennai area india
U7285	india
U15336	urbana-champaign illinois area
U7294	urbana-champaign illinois area
U4562	urbana-champaign illinois area
U7295	urbana-champaign illinois area
U7338	urbana-champaign illinois area
U4630	baton rouge louisiana area
U5980	urbana-champaign illinois area
U3939	greater boston area
U18973	china
U7080	kitchener canada area
U22022	urbana-champaign illinois area
U4688	urbana-champaign illinois area
U24100	china
U27617	urbana-champaign illinois area
U7288	san francisco bay area
U22088	springfield illinois area
U27649	greater pittsburgh area
U27791	greater atlanta area
U22072	greater chicago area
U4635	urbana-champaign illinois area
U4652	greater new york city area
U18983	beijing city china
U4439	united states
U18965	urbana-champaign illinois area
U13968	greater chicago area
U7326	greater chicago area
U2746	san francisco bay area
U8068	urbana-champaign illinois area
U18516	greater atlanta area
U7180	san francisco bay area
U16140	brussels area belgium
U27648	greater new york city area
U2140	raleigh-durham north carolina area
U11823	greater milwaukee area
U9680	springfield illinois area
U4461	urbana-champaign illinois area
U22854	greater chicago area
U4680	san francisco bay area
U27635	orange county california area
U21838	greater chicago area
U7203	san francisco bay area
U2653	beijing city china
U22037	urbana-champaign illinois area
U25618	greater boston area
U8090	greater new york city area
U1178	greater boston area
U7198	columbus ohio area
U10050	west palm beach florida area
U1226	greater boston area
U15957	montreal canada area
U27516	greater new york city area
U18915	urbana-champaign illinois area
U24177	munich area germany
U15919	mumbai area india
U4025	shanghai city china
U2680	greater chicago area
U18962	greater los angeles area
U4467	urbana-champaign illinois area
U15333	urbana-champaign illinois area
U22059	greater chicago area
U1047	greater new york city area
U6028	kansas city missouri area
U7173	greater chicago area
U7176	greater chicago area
U24247	greater boston area
U12020	united arab emirates
U27569	greater chicago area
U27738	urbana-champaign illinois area
U27674	raleigh-durham north carolina area
U4610	paris area france
U25636	nijmegen area netherlands
U1254	iowa city iowa area
U1303	greater new york city area
U7253	urbana-champaign illinois area
U24260	iran
U24158	iran
U27941	urbana-champaign illinois area
U9627	urbana-champaign illinois area
U8721	san francisco bay area
U15344	bangladesh
U27707	greater san diego area
U7033	greater chicago area
U9711	greater chicago area
U18938	greater boston area
U7090	urbana-champaign illinois area
U2663	china
U27542	greater new york city area
U7370	united states
U15287	baton rouge louisiana area
U27332	urbana-champaign illinois area
U15368	bangladesh
U27508	china
U21970	greater chicago area
U14479	morelia area mexico
U24184	urbana-champaign illinois area
U5977	urbana-champaign illinois area
U14131	greater seattle area
U8050	san francisco bay area
U27287	urbana-champaign illinois area
U13954	urbana-champaign illinois area
U24142	iran
U18597	west palm beach florida area
U13029	urbana-champaign illinois area
U3989	beijing city china
U18928	portland oregon area
U8702	urbana-champaign illinois area
U14566	urbana-champaign illinois area
U8100	mansfield ohio area
U1055	washington d.c. metro area
U4542	urbana-champaign illinois area
U4568	san francisco bay area
U22074	greater chicago area
U22045	greater chicago area
U24224	san francisco bay area
U18555	gainesville florida area
U14498	madison wisconsin area
U18942	urbana-champaign illinois area
U24238	edmonton canada area
U8768	urbana-champaign illinois area
U8066	greater nashville area
U11566	urbana-champaign illinois area
U16084	greater new york city area
U14526	urbana-champaign illinois area
U4638	greater los angeles area
U14005	urbana-champaign illinois area
U16078	urbana-champaign illinois area
U7989	urbana-champaign illinois area
U8098	urbana-champaign illinois area
U27602	san francisco bay area
U19886	rockford illinois area
U9710	greater san diego area
U24504	urbana-champaign illinois area
U9126	greater chicago area
U15949	london united kingdom
U18939	urbana-champaign illinois area
U15294	lubbock texas area
U14547	urbana-champaign illinois area
U25610	greater boston area
U15482	urbana-champaign illinois area
U27475	austin texas area
U27704	urbana-champaign illinois area
U22775	bengaluru area india
U10637	brazil
U4000	china
U22003	urbana-champaign illinois area
U19848	wichita kansas area
U14537	greater chicago area
U16153	greater detroit area
U16219	urbana-champaign illinois area
U15349	greater chicago area
U27577	bloomington indiana area
U8111	hattiesburg mississippi area
U24132	cleveland akron ohio area
U1044	greater chicago area
U11563	urbana-champaign illinois area
U27575	columbus ohio area
U27473	shanghai city china
U25605	greater boston area
U7024	urbana-champaign illinois area
U27627	urbana-champaign illinois area
U19873	san francisco bay area
U2744	albany new york area
U7262	san francisco bay area
U4485	urbana-champaign illinois area
U7202	san francisco bay area
U7986	urbana-champaign illinois area
U14496	greater milwaukee area
U4563	providence rhode island area
U2734	urbana-champaign illinois area
U27634	china
U16091	urbana-champaign illinois area
U14529	urbana-champaign illinois area
U18964	china
U4685	urbana-champaign illinois area
U22803	san francisco bay area
U18570	miami fort lauderdale area
U27726	san francisco bay area
U4452	urbana-champaign illinois area
U8795	urbana-champaign illinois area
U22861	hyderabad area india
U11559	other
U18593	urbana-champaign illinois area
U18949	greater chicago area
U24154	united states
U27603	shanghai city china
U14557	urbana-champaign illinois area
U1199	athens georgia area
U4448	china
U7281	noida area india
U21848	bloomington indiana area
U25563	greater seattle area
U27772	tampa st. petersburg florida area
U7256	urbana-champaign illinois area
U15342	urbana-champaign illinois area
U18557	peoria illinois area
U15177	urbana-champaign illinois area
U24183	kuala lumpur malaysia
U7141	greater seattle area
U3922	china
U5976	urbana-champaign illinois area
U27656	san francisco bay area
U1379	san francisco bay area
U15197	urbana-champaign illinois area
U18586	greater los angeles area
U7082	san francisco bay area
U7074	san francisco bay area
U8279	urbana-champaign illinois area
U4619	san francisco bay area
U15286	copenhagen area denmark
U4606	urbana-champaign illinois area
U7117	greater pittsburgh area
U4005	greater boston area
U8670	san francisco bay area
U14123	greater new york city area
U7189	san francisco bay area
U7377	austin texas area
U27557	urbana-champaign illinois area
U22073	greater chicago area
U24179	madrid area spain
U9689	cincinnati area
U22849	sacramento california area
U9679	urbana-champaign illinois area
U7159	san francisco bay area
U1119	edmonton canada area
U27737	san francisco bay area
U12970	greater chicago area
U7402	greater chicago area
U7156	san francisco bay area
U16098	bryan college station texas area
U28772	san francisco bay area
U7091	urbana-champaign illinois area
U27761	shanghai city china
U27549	china
U14007	urbana-champaign illinois area
U7319	urbana-champaign illinois area
U27289	urbana-champaign illinois area
U14519	urbana-champaign illinois area
U4010	san francisco bay area
U22820	kandukur area india
U27622	shenzhen guangdong china
U27777	china
U27784	hong kong
U10607	las vegas nevada area
U27613	san francisco bay area
U27798	greater detroit area
U14564	united states
U14112	urbana-champaign illinois area
U4586	urbana-champaign illinois area
U8828	urbana-champaign illinois area
U9663	decatur illinois area
U18520	west palm beach florida area
U22044	greater chicago area
