name	employer
U7379	illini union board - mini courses
U7379	shell oil company
U15289	university of alabama at birmingham
U15289	bangladesh open source network
U15289	wikipedia
U15289	johns hopkins university
U15289	university of illinois at urbana-champaign
U15289	google
U15289	national center for supercomputing applications
U15289	bangladesh university of engineering and technology
U15289	dhaka international university
U14015	open systems laboratory university of illinois at urbana-champaign
U15329	bangladesh university of engineering and technology
U15329	odesk
U15329	freelancer.com
U15329	artcube media inc.
U15329	mazumder it limited
U24080	google
U24080	university of illinois at urbana-champaign
U24080	at&amp;t labs research
U24080	microsoft research asia
U18981	university of illinois at urbana-champaign
U3958	microsoft
U24046	whova
U24046	university of illinois at urbana-champaign
U24046	microsoft
U24046	google
U24046	chinese academy of sciences
U24046	fudan university
U11564	at&amp;t labs - research
U11564	university of michigan
U7213	deloitte
U7213	kpmg india
U7213	pepsico
U18954	illinois institute of technology
U18954	nec laboratories america
U18954	argonne national laboratory
U1045	measured progress
U1045	saint mary academy
U1045	psychometric society
U1045	act
U16132	argonne national laboratory
U7151	google
U7151	department of computer science | university of illinois
U7151	microsoft
U7151	bank of america merrill lynch
U7151	otcr consulting
U7151	black brothers co.
U15349	university of illinois at chicago
U15349	arris
U15349	qi analysis inc
U15349	ibais university
U15349	nazimcorp resource gateway
U27661	google
U27661	at&amp;t labs inc.
U27661	university of michigan
U22011	champaign unit 4 schools
U22011	danville community high school
U22011	project success vermillion county
U22011	geneva park district
U24154	google
U9130	illini art therapy association
U9130	university of illinois at urbana-champaign
U9130	southern illinois university
U9130	state university of new york at buffalo
U24254	new york university
U9660	kraft foods group
U9660	university of illinois at urbana-champaign
U9660	toyota
U2136	caterpillar
U1259	prometric
U1259	data recognition corporation
U1259	various public and private mental health centers clinics hospitals
U1259	institutional research analytical studies northern illinois university
U10051	krames staywell
U10051	cygnus business media
U10051	american academy of pediatrics
U19842	clorox company
U19842	department of chemical and biomolecular engineering at uiuc
U19842	unilever
U19842	flossmoor country club
U1220	excelsior college
U1220	university at albany
U1220	professional examination service
U1108	university of texas at austin
U1068	little brothers - friends of elderly
U1068	leaders in business development | marketing | united states
U1068	liaison international
U1068	pearson language tests
U1068	pearson knowledge technologies
U1068	ets
U24062	towers watson
U24062	pricewaterhousecoopers
U1252	stephanie gertz consulting
U27636	university of delaware
U27636	shanghai jiao tong university
U15168	ece department at uiuc
U15168	university of illinois at urbana-champaign
U13988	wolfram research
U14665	ara
U14665	iss inc.
U14665	eye center
U14665	university of illinois medical center
U14665	jingyi futures co. ltd
U14665	beihang university
U27614	yelp.com
U24117	blizzard entertainment
U24117	at&amp;t
U1136	educational testing service (ets)
U8699	university of illinois at urbana-champaign
U8699	google
U8699	cornell university
U8699	microsoft
U8699	ibm
U15321	weike gaming technology
U15321	itwin pte ltd.
U15321	tigerit bangladesh limited
U7117	intel corporation
U7117	paul kenis research group
U7117	john a. rogers research group
U4634	university of illinois at urbana-champaign
U4634	ge global research
U10631	ets
U18588	sheridan healthcorp
U27541	uc san diego
U27541	cisco systems
U27541	qad inc
U9655	arcelormittal
U9655	university of illinois kinesiology department
U9655	lincoln-way community high school
U9655	camp manitoqua and retreat center
U1196	center for educational testing and evaluation
U1196	national center for improvement of educational assessment inc
U1196	educational testing service
U1196	american institutes for research
U1196	pinkerton computer consultants inc
U1196	nyma inc
U1196	university of virginia
U1196	cornell university
U1196	reading is fundamental inc
U22019	north shore pediatric therapy
U22019	university of illinois at urbana-champaign
U22019	jewish child and family services
U22019	act one research services inc.
U9657	san diego gas &amp; electric
U9657	university of illinois at urbana-champaign
U9657	technische universit&#xe4;t darmstadt
U9657	kraft foods
U22828	bsb - bharti softbank
U6026	localytics
U13961	university of illinois at urbana-champaign
U13961	northern illinois university
U15932	brookhaven national laboratory
U15932	johns hopkins university
U14136	illinois state university
U14136	jcc of chicago
U14136	university of illinois at chicago-institute for juvenile research and hyperactivity attention and l
U14136	university of illinois at urbana-champaign
U14136	camp jrf
U14136	university of illinois at chicago &amp; jewish child and youth services
U27518	arizona state university
U27721	emsi
U24173	apostrophe solutions corp.
U24173	brock university
U24173	aramin information technology
U7283	ernst &amp; young
U7283	puma india
U7283	cmai
U7283	ample auto tech
U22072	wellness revolution
U22072	university of illinois at urbana-champaign
U22072	baby-speaking
U22072	round ground metals inc.
U22072	private
U7109	office of global and online education university of oregon
U7109	women's resources center university of illinois at urbana-champaign
U7109	illinois leadership center university of illinois at urbana-champaign
U7109	alternative spring break at university of illinois
U7109	leadership conferences &amp; programs
U7109	southwestern company
U7109	office of business and financial services (obfs) university of illinois at urbana-champaign
U7109	m-i-c illinois
U5976	copper creek church
U5976	cv lloyde
U9689	general atomics
U9689	center for plasma and material interactions
U2209	esnet
U2209	buraglio consulting
U2209	university of illinois
U2209	national center for supercomputing applications
U2209	sol tec
U2209	country financial
U24084	apple
U24084	canesta
U24084	netease
U2761	google
U6021	sony biotechnology inc.
U13968	psycray corp
U13968	usa strategies inc.
U13968	affluence corporation
U13968	searchchannel llc
U1283	new jersey department of education
U7373	brookings institution
U7373	syrian emergency task force (setf)
U7373	muslim public affairs council
U7373	office of governor of illinois
U7272	tableau software
U7272	whitepages
U7272	yahoo! inc.
U1134	education analytics inc.
U1134	value-added research center at university of wisconsin
U1134	university of wisc. lafollette school of public affairs and wisconsin center for education research
U21998	illinois college advising corps
U21998	victoria amplifiers
U21998	university of illinois at chicago
U6000	merge llc
U6000	merge partners inc
U6000	vineyard church
U6000	state farm insurance
U6000	hearts at home
U1175	measured progress
U1175	questar assessment inc.
U1175	achievement data inc.
U13981	institute for transportation research and education (itre)
U13981	university of illinois at urbana-champaign
U15968	carl zeiss vision
U15968	booz &amp; company
U15968	freudenberg
U15299	jaxara
U15299	osource bangladesh
U9149	umass donahue institute
U6011	vizion interactive
U6011	search fanatics
U6011	click2rank consulting llc
U6011	seo by jt
U6011	innovadex
U6011	church of harvest
U6011	t-mobile
U6011	mercy &amp; truth medical missions
U6011	security benefit
U25627	cardinal santos medical center
U25627	advanced orthopedics for joint replacement
U25627	manila doctors hospital
U18524	ultimate software
U18524	duque &amp; ruiz consulting s.l.
U18524	oracle
U18524	sun microsystems
U18524	seebeyond
U18524	newknow
U18524	meta4
U22017	comed
U22017	apple
U22017	olow charities
U22017	notes-n-quotes
U22017	praire ensemble
U22017	t-initiative foundation
U22017	university of illinois
U1071	educational testing service (ets)
U18932	illinois state university
U15935	boston consulting group
U15935	itc limited
U25605	measured progress
U25605	friendly's restaurant
U25605	iref iabs department
U27608	pine river capital management
U27608	microsoft bing search(bellevue u.s.a)
U27608	a.t.kearney
U27608	microsoft research redmond
U27608	idc
U27608	microsoft research asia
U27608	share
U27608	intel research
U8036	original profender
U8036	neshaminy school district
U7035	dunnhumby
U7035	nielsen company
U7035	state farm insurance
U7035	university of illinois-department of statistics
U7035	resident hall library
U7035	university of illinois at urbana-champaign - department of mathematics
U22771	apple inc.
U22771	university of texas at austin
U22771	infinera
U22771	texas instruments
U15994	brown and caldwell
U15994	tetra tech
U15994	american water works association
U15341	wichita state university
U15341	netapp
U15341	commlink info tech ltd.
U15341	atp solution
U3914	sjtu
U3914	taobao
U3919	mediav
U3919	yahoo! beijing r&amp;d
U3919	alibaba cloud computing company
U3919	microsoft global technology supporting center
U15917	cummins inc.
U15917	university of texas at austin
U15917	merl
U15917	zeus numerix
U15917	indian institute of science
U22843	tata consultancy services
U27507	goldman sachs
U27507	university of illinois at urbana-champaign
U4517	sanli pastore &amp; hill inc.
U4517	simpson &amp; simpson cpas
U4517	nepo inc.
U4517	china executive leadership program
U4517	kpmg
U4517	guangrui district financial department
U22785	pitney bowes
U22819	citi global markets
U1178	measured progress
U4676	nfls
U4489	university of illinois at urbana-champaign
U16089	quora
U16089	singapore-mit alliance for research &amp; technology
U16089	empiricus capital management group
U8076	us army
U22803	ca technologies
U27753	school of software shanghai jiao tong university
U15974	kisco global llc usa
U15974	kisco castings
U4647	pricewaterhousecoopers
U1104	universiti teknologi malaysia
U1104	national board of osteopathic medical examiner - clinical skills testing
U1104	center for educational testing and evaluation
U1104	center for research on learning
U1104	university of kansas
U16137	cummins inc.
U2631	university of texas at austin
U2631	google
U2631	microsoft research asia
U2631	msra-ucla research in industrial projects for students
U24218	lucena research
U24218	georgia institute of technology
U9709	lyondellbasell
U9709	university of alabama
U9709	subway
U9709	girl scouts of western ohio
U2622	yahoo! labs
U2622	idiap research institute
U2622	eth z&#xfc;rich
U2622	mit
U2622	computer vision &amp; active perception lab (cvap) kth
U14532	legacy investment advisors llc
U27691	north carolina state university
U27691	national chiao tung university
U1282	michigan state university
U1282	educational testing service
U1282	act inc
U1282	can tho university vietnam
U1282	ghent university belgium
U8909	john birch society
U8909	perkins county sheriff's department
U3909	microsoft
U3909	alibaba.com
U16101	idg ventures
U16101	axdia international gmbh
U16101	fraunhofer iais
U16101	idg media fundation
U21443	university of illinois at urbana-champaign
U8088	hanwha l&c alabama
U7270	goldman sachs
U7270	illinois business consulting
U7270	university of illinois at urbana-champaign
U22799	amazon
U15307	kona software lab ltd. (r&amp;d center of konai s. korea))
U15307	bangladesh bureau of statistics
U15307	progmaatic developer network
U15307	dhaka - gtug
U15307	technology solutions limited
U9665	argonne national laboratory
U5981	elemental imaging
U5981	command performance research
U5981	killer works
U5981	undisclosed
U5981	actency
U5981	abner guzman phd
U5981	uiknow inc.
U5981	electronic arts
U5981	department of computer science university of illinois at urbana-champaign
U5981	motorola
U5981	mimosa accoustics
U5981	gas technology institute
U5981	baxter healthcare
U1199	data recognition corporation
U1199	ctb mcgraw-hill
U1199	georgia center for assessment at uga
U1199	ets
U1199	ctb mcgraw hill
U22747	university of illinois at urbana-champaign
U22747	intel
U22747	oracle india pvt ltd
U22747	microsoft research india labs
U22747	bhabha atomic research center
U1089	university of iowa
U18916	university of illinois at urbana-champaign
U14500	empowered u coaching
U14500	mahomet-seymour pto
U14500	simplified computers
U14500	vineyard bible institute
U14500	vineyard church
U14500	franklin magnet middle school
U7349	glenbard township high school district 87
U7349	grainger engineering library
U7349	alternative spring break
U7349	university of illinois at urbana-champaign
U7349	university ymca
U7349	university of ymca student board
U7349	resolutions employment assistant program
U3894	trivest
U3894	shanghai prosperity fund
U3894	cid group
U27642	quantcast
U9122	university of illinois at urbana-champaign
U16204	harvard school of public health
U16204	university of michigan
U16204	hkust
U27772	university of south florida
U24064	twitter
U21995	university of illinois at urbana-champaign
U9128	hughes development corp
U9128	albrecht imaging
U9128	confidential
U9128	university of illinois at urbana-champaign
U9128	my place bar and grill
U9128	dupont
U25641	hopewell consulting llc
U25641	educational testing service
U15334	admetrics communications
U15334	university of british columbia
U15334	dohatec new media
U9667	john deere
U9667	chillers inc
U9667	panera bread
U11597	baidu inc.
U27742	university of southern california
U27742	university of delaware
U8113	delaware diamond knives
U7317	aerofs
U7317	bazaarvoice
U7317	university of illinois at urbana-champaign
U7317	cisco systems
U7317	readjournal
U1238	international center for leadership in education
U1238	smarter balanced assessment consortium
U1238	council of chief state school officers (ccsso)
U1238	maine department of education
U7909	reasoning mind
U7909	houston isd
U7909	university of illinois at urbana-champaign
U7909	inc research
U14125	software competitiveness international
U14125	wexgroup
U14125	intered
U19831	young business professionals of coastal bend
U19831	celanese
U19831	university of illinois at urbana-champaign
U19831	american institute of chemical engineers
U19831	dow corning
U19831	exelon nuclear
U22030	university of illinois at urbana-champaign crop sciences
U22030	krannert center for performing arts
U22030	alternative spring break at university of illinois
U22030	cognitive neuroimaging laboratory
U22030	american medical student association at university of illinois
U22030	prospect heights park district
U22030	provena covenant medical center
U27618	university of illinois at urbana-champaign
U13959	microsoft
U13959	university of illinois at urbana-champaign
U13959	morgan stanley
U13959	alcatel-lucent - bell labs
U24550	university of illinois at urbana-champaign
U24550	st. jude's recovery center
U24550	girl scouts of greater atlanta inc.
U9141	i-stem education initiative
U9141	university of illinois at urbana-champaign
U9141	university of chicago
U9141	pilsen wellness center inc.
U7096	cosmopolitan magazine india
U7096	mega modelz magazine
U7096	impulse films - filmmaking workshops
U8049	cold hand arms llc
U7315	university of illinois at urbana-champaign
U7315	walsh construction
U7315	city of champaign public works
U7315	deloitte consulting
U7315	university of illinois mathematics department
U7315	building research council
U16141	oracle
U16141	dartmouth college
U16141	digital finance software development company ltd
U16141	frontfree technology network
U27763	microsoft
U27763	morgan stanley
U15311	university of waterloo
U15311	runner cyberlink ltd. (bd)
U15311	buet
U15311	bangladesh university of engineering &amp; technology
U1147	ets
U1147	educational testing service
U15944	brown and caldwell
U15944	university of illinois at urbana-champaign
U7347	university housing
U7347	hydrosystems laboratory
U7347	ch2m hill
U14068	university of illinois at urbana-champaign
U16127	robert bosch gmbh
U16127	schlumberger
U16127	mathematical biosciences institute ohio state univeristy
U16127	institute for mathematics and its application university of minnesota
U16127	stanford university
U18562	ultimate software
U18562	motorola inc. plantation fl
U18562	motorola inc. boynton beach fl
U18562	hcs lab university of florida
U18562	fiu university computer services
U4457	university of illinois at urbana-champaign
U4457	aia
U4457	beijing municipal bureau of statistics
U7294	goldman sachs
U7295	galt &amp; company
U7295	abbott laboratories
U7295	zs associates
U7295	abbott diabetes care
U7338	hitachi consulting
U7338	procter &amp; gamble
U7338	university of illinois foundation
U7338	tepper mann &amp; cottrell p.c
U7338	self
U7338	round lake area park district
U5980	shapemaster inc.
U27617	university of illinois at urbana-champaign
U19874	university of illinois at urbana-champaign
U19874	oak ridge national laboratory
U19874	sauk valley community college
U19874	us army
U22088	university of illinois at springfield
U22088	family video
U9630	state farm
U9630	illinois business consulting
U18983	greenpeace
U18983	big appetite network
U18983	global campaign for climate action (gcca)
U18983	undp
U18983	carnegie endowment for international peace
U18983	global social venture competition
U8900	northgate church
U2746	linkedin
U2746	university of massachusetts amherst
U2746	beijing institute of technology
U13032	roosevelt university: counseling center
U13032	roosevelt university: melissa sisco ph.d
U13032	university of illinois at urbana-champaign
U13032	women's resource center
U13032	american eagle outfitters
U13032	roland realty
U27648	rutgers university
U27648	shanghai jiao tong university
U27648	intel
U2140	semprius
U2140	university of illinois at urbana-champaign
U9680	champaign-urbana community fabrication laboratory
U9680	manplan inc
U21838	lacunavinea inc. nfp
U21838	vibes media
U24113	stanford university
U25618	sophos
U8090	arch crown inc
U8090	raider performance
U8090	lda technical consulting llc
U7983	keller williams-inskip realtyteam
U7983	keller williams realty
U7983	rector property management
U24177	gfk
U24177	celonis gmbh
U24177	apa-iutcert
U24177	farabord
U15919	avanti fellows
U15919	cognizant technology solutions
U2680	university of illinois at chicago
U15333	university of illinois at urbana-champaign
U15333	ebay inc
U15333	groupon
U15333	state farm insurance
U15333	engineering it shared services
U15333	prof. lawrence angrave research group
U15333	shahjalal university of science and technology
U24247	university of illinois at urbana-champaign
U24247	i coppi
U24247	ingaldsby farm
U1303	graduate school city university of new york
U1303	center for advanced study in education
U7253	university of illinois at urbana-champaign
U7253	boeing
U7253	harper community college
U24158	shega
U24158	ific
U8721	google
U8721	university of illinois at urbana-champaign
U8721	hewlett-packard laboratories
U8721	yahoo!
U27707	university of illinois at urbana-champaign
U27707	microsoft
U27707	intel china research center
U2663	zhejiang university
U2663	ucla
U2663	microsoft research china
U27542	commerzbank ag
U27542	capstone investment advisors
U7370	siemens healthcare
U27332	amazon
U27332	standard chartered bank
U27332	no.1 puppy
U24184	spot trading llc
U24184	intelligent medical objects
U24184	dr. h.r thompson md
U24184	china automotive industry engineering corp.
U14131	facebook
U14131	microsoft
U14131	google
U14131	telco in a box
U14131	university of new south wales
U8050	self-employed
U22753	amazon.com
U22753	oracle
U22753	intel corporation
U22753	yahoo!
U22753	bhabha atomic research center
U3989	noah's ark lab huawei technologies co. ltd.
U3989	baidu inc.
U18928	daimler trucks north america
U18928	ace properties and management llc
U18928	caterpillar inc.
U18928	caterpillar champaign simulation center
U18928	university of illinois at urbana-champaign
U18928	science technology and information center national science council
U18928	corporate synergy development center
U14566	faa
U8100	boda corporation
U8100	black squirrel bed &amp; breakfast
U8100	harra decal
U8100	murfin division menasha corporation
U1055	graduate management admission council&#xae; (gmac&#xae;)
U1055	university of massachusetts amherst
U1055	republic of korea army
U4542	caterpillar inc.
U4542	university of illinois at urbana-champaign
U4542	nondestructive tesing center tsinghua univ.
U4568	google
U4568	university of illinois at urbana-champaign
U4568	samsung
U4568	bell laboratories
U22074	university of illinois at chicago
U22074	university of illinois springfield
U22045	chicago public schools
U18555	mindtree ltd.
U18555	university of florida
U18555	niche mobile
U18555	programming team
U18555	samuel p. harn museum of art
U18555	morikami museum and japanese gardens
U8741	systems research group university of illinois at urbana-champaign
U8741	fujitsu laboratories of america
U8741	nasa goddard space flight center
U8741	california institute for telecommunications and information technology
U8741	uci computer graphics group
U8741	smsold
U24238	university of alberta
U8768	microsoft research
U8768	university of illinois at urbana-champaign
U8768	hewlett-packard laboratories
U8768	xerox innovation group xerox research center webster
U8768	university of waterloo
U8768	bangladesh university of engineering &amp; technology
U14531	vineyard church of paxton illinois
U14531	vineyard bible institute
U14531	abbott power plant university of illinois
U8098	federal law enforcement training center
U8098	west park digital media
U8098	illinois state police investigations
U8098	natia
U9126	office of community college research and leadership
U9126	higher learning commission
U9126	chaparral college
U15949	deutsche bank
U15294	texas tech university
U14547	express employment professionals
U14547	chitralada palace school
U14547	hyatt regency hill country resort and spa
U25610	abacus automation
U25610	donald j. allen
U15482	keller williams realty trec llc
U27475	university of texas at austin
U27475	paypal
U27475	yelp.com
U27475	samsung engineering &amp; construction
U27475	protect america inc.
U27475	ellusionist inc.
U27475	adaptive home inc
U27475	tokyo steakhouse
U27475	modern japan development llp
U27704	university of illinois at urbana-champaign
U16153	university of michigan health system
U16153	boston consulting group
U16153	center for entrepreneurship university of michigan
U16153	mckinsey &amp; company
U16153	daolan group
U16153	peking university
U27494	google
U27494	alibaba cloud computing
U27494	eleme inc.
U27494	microsoft
U11563	university of illinois at urbana-champaign
U11563	ebay
U7281	idubba.com
U7281	mozilla corporation
U7281	x.org
U4485	university of illinois at urbana-champaign
U4485	center for study of reading
U14080	university of illinois at urbana-champaign
U14080	hewlett-packard laboratories
U14080	independent contractor
U14080	microsoft
U14080	oracle
U16091	wichita state university
U16091	state farm
U16091	university of illinois at urbana-champaign
U16091	sr research inc
U16091	eptco group
U16091	peking university
U16091	microsoft
U18964	naturelaw international consulting company
U18570	ultimate software
U18570	amazon
U18570	orlando utilities commission
U22861	reliance
U22861	bharti airtel limited
U27758	google
U14150	transpac aviation academy
U14150	university of illinois at urbana-champaign
U14150	ja air center
U15342	university of illinois at urbana-champaign
U24183	consolsys sdn bhd
U24183	mabna card aria
U24183	persian easy payment
U24183	gaj (jokaar educational group)
U24183	idea negar energy sabz
U24183	tsp - keymile
U24183	javaneh software co.
U7141	amazon
U7141	university of illinois at urbana-champaign
U7141	qualcomm
U7141	research in motion
U16085	globalfoundries
U15286	dhi
U4606	3m
U4606	university of illinois at urbana-champaign
U21969	university of illinois at urbana-champaign
U21969	universty of illinois residence halls
U21969	hillery's bar-b-que
U4005	wayfair
U4005	bloomberg
U14123	niksun
U14123	university of illinois at urbana-champaign
U14123	ieee
U7377	cancer prevention and research institute of texas
U7377	hostgator.com
U7377	threads of time
U7377	university of illinois at urbana-champaign
U9711	qualcomm
U9711	ibm
U9711	fermilab
U9711	wolfram research
U2180	riverbed technology
U2180	luster software
U2180	health alliance medical plans
U2180	ral recoveries
U2180	personalcare
U24224	neustar inc.
U7402	huntington learning center
U7402	uiuc communications library
U7402	students for life of illinois
U7402	university of illinois at urbana-champaign
U7402	missionyouth pastoral support services
U28772	honda research institute usa inc.
U28772	ibm
U28772	cycorp
U27761	3m
U27761	general electric
U14007	university of illinois at urbana-champaign
U14007	par works inc. (an allied minds company)
U8795	university of illinois at urbana-champaign
U8795	nec laboratories america
U8795	pinpoint!me
U8795	nvidia
U15197	qualcomm innovation center inc
U15197	campus information technologies and educational services
U15197	smartplay technologies
U27777	yuhuan taijie hardware co. ltd.
U8828	university of illinois at urbana-champaign
